currency,pathway,quarter,p05,p10,p25,p50,p75,p90,p95
CNY,accretion,2028Q4,1.3928990877244947,1.5846887793956341,1.9181117173748148,2.310702732790522,2.6906214599251714,3.051886129604554,3.2777169270150117
CNY,accretion,2029Q1,1.3669660917724749,1.5660306116296367,1.9222758428824471,2.3384458085983892,2.7499369698637475,3.127642755371878,3.3663707249665533
CNY,accretion,2029Q2,1.3362203286873346,1.5445155209135863,1.9279906594169693,2.366506452610558,2.7965910169375374,3.2112845723010754,3.4495904990834934
CNY,accretion,2029Q3,1.294938217911418,1.5195260102978634,1.9225226800884805,2.397062364246505,2.8564340200203335,3.296746501361076,3.5562400581196383
CNY,accretion,2029Q4,1.2462726384823195,1.5094295278488394,1.9287085275512692,2.42484192117353,2.914424791255904,3.3662498091768907,3.656181550237247
CNY,accretion,2030Q1,1.2135704179481737,1.4830823357698477,1.9379626316570278,2.4533220080074316,2.9717467637215567,3.441575698929985,3.7498059084342175
CNY,accretion,2030Q2,1.1820678536117442,1.4611506801492857,1.9365019219610557,2.4863426425909223,3.02999949254057,3.526732039369813,3.857352414838715
CNY,accretion,2030Q3,1.1402057708131748,1.447199950684111,1.9393570452152498,2.5098290877531344,3.083377667844428,3.60484008994336,3.9400960613742324
CNY,accretion,2030Q4,1.1082624469489533,1.4267611423498419,1.9470856545941446,2.54348337508953,3.1349170520194605,3.689432327269995,4.028123811324439
CNY,accretion,2031Q1,1.069517900902039,1.4001501041988644,1.9532393332503637,2.5839678766828915,3.1864192004860055,3.7653402573418293,4.11301268399033
CNY,accretion,2031Q2,1.0494774741772832,1.3860819451213315,1.959551498421181,2.614134545519345,3.2485653879831844,3.8342699940754303,4.191663132365665
CNY,accretion,2031Q3,1.0181156676230267,1.3568428043835261,1.964044283956616,2.6394157299495173,3.3075532678206776,3.9182706183994207,4.298815179536431
CNY,accretion,2031Q4,0.9821731673074697,1.346888459625508,1.971607926316017,2.666763656222243,3.365890890869318,3.9977971462152793,4.389750779086123
CNY,accretion,2032Q1,0.9544373540166177,1.3184529488519614,1.9749618993547033,2.705587897919742,3.416548373481647,4.075759546920852,4.470243847326545
CNY,accretion,2032Q2,0.9257310817427801,1.2988408004817857,1.9758590971263508,2.7336546493876357,3.471566931260103,4.161843196441405,4.558208902541441
CNY,accretion,2032Q3,0.8900102876869922,1.2778598691790777,1.9711258886514424,2.758596288049037,3.5230154422764115,4.235597834137649,4.657478145455394
CNY,accretion,2032Q4,0.8630224215426119,1.266163373716761,1.9801877673450083,2.777620017327661,3.5872031998702085,4.304325901009113,4.762167850527292
