pathway,block,year,p05,p10,p25,p50,p75,p90,p95
demonstration,NATO Europe,2034,600773.0,630166.5,687129.5,757639.1,840182.7,933637.0,997185.3
demonstration,Hedging middle powers,2034,266456.0,286276.8,323954.3,371412.1,426157.5,488739.0,537207.8
demonstration,United States,2034,665562.6,712404.5,809702.7,935430.7,1128856.4,1471059.9,1730119.2
demonstration,China,2034,409790.4,436977.1,484997.6,538920.0,596414.2,655253.1,692053.4
demonstration,Rest of world,2034,429780.5,464796.5,524197.1,601156.6,687142.0,773912.3,827026.3
demonstration,Indo-Pacific allies,2035,193664.1,198582.0,208150.0,219113.6,230953.3,242003.6,249375.6
demonstration,NATO Europe,2035,601752.5,632470.2,695017.3,772132.5,863274.0,964000.9,1033360.2
demonstration,Hedging middle powers,2035,266945.5,290170.5,330024.2,381151.5,443966.8,515293.3,563494.1
demonstration,United States,2035,655055.1,703647.8,805313.7,941391.4,1147971.7,1505040.5,1751947.3
demonstration,China,2035,425496.9,455535.2,506935.7,567816.8,632552.2,696764.6,739781.6
demonstration,Rest of world,2035,447151.6,484829.1,551026.5,633391.2,730470.1,829076.0,893484.5
