ally,year,pct_gdp,estimate,source
Hungary,2025,2.06,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Hungary,2026,2.09,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2014,1.13,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2015,1.06,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2016,1.17,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2017,1.2,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2018,1.22,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2019,1.17,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2020,1.58,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2021,1.52,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2022,1.5,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2023,1.46,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2024,1.52,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2025,2.09,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Italy,2026,2.1,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2014,0.97,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2015,1.07,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2016,1.49,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2017,1.65,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2018,2.13,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2019,2.09,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2020,2.23,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2021,2.16,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2022,2.25,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2023,2.93,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2024,3.28,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2025,3.67,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Latvia,2026,4.92,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2014,0.88,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2015,1.13,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2016,1.48,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2017,1.71,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2018,1.95,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2019,1.98,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2020,2.05,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2021,1.95,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2022,2.46,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2023,2.69,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2024,3.07,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2025,4.03,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Lithuania,2026,5.33,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2014,0.37,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2015,0.41,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2016,0.38,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2017,0.49,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2018,0.5,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2019,0.55,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2020,0.58,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2021,0.47,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2022,0.57,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2023,1.07,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2024,1.29,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2025,2.01,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Luxembourg,2026,2.03,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2014,1.51,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2015,1.42,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2016,1.43,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2017,1.36,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2018,1.39,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2019,1.35,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2020,1.75,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2021,1.56,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2022,1.37,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2023,1.5,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2024,1.66,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2025,2.04,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Montenegro,2026,2.17,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2014,1.12,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2015,1.1,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2016,1.13,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2017,1.12,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2018,1.19,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2019,1.29,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2020,1.37,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2021,1.32,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2022,1.39,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2023,1.46,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2024,2.02,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2025,2.53,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Netherlands,2026,2.58,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2014,1.09,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2015,1.05,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2016,0.97,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2017,0.89,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2018,0.94,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2019,1.16,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2020,1.24,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2021,1.45,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2022,1.58,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2023,1.67,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2024,1.84,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2025,2.1,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
North Macedonia,2026,2.09,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2014,1.5,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2015,1.53,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2016,1.68,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2017,1.65,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2018,1.66,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2019,1.78,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2020,1.89,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2021,1.62,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2022,1.41,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2023,1.75,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2024,2.16,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2025,3.16,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Norway,2026,3.17,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2014,1.86,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2015,2.21,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
