ccy,measure,quarter,value,date,source
CAD,share_pct,2023-Q4,2.51280570030212,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2023-Q4,24556.5274905552,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2023-Q4,0.199402883648872,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2023-Q4,287991.12814253,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2023-Q4,2.33853340148926,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2023-Q4,2365617.47429495,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2023-Q4,19.2091884613037,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2023-Q4,589550.966305422,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,2023-Q4,4.78724718093872,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,2023-Q4,670107.662151317,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,2023-Q4,5.4413800239563,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,2023-Q4,547309.031118351,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,2023-Q4,4.44423580169678,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2023-Q4,12315031.0402511,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2023-Q4,100.0,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2023-Q4,7263358.27048321,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2023-Q4,58.9796180725098,2023-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2024-Q1,260242.019327504,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,share_pct,2024-Q1,2.10727906227112,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2024-Q1,308947.518720655,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,share_pct,2024-Q1,2.50166630744934,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2024-Q1,24283.9709574547,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2024-Q1,0.196636602282524,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2024-Q1,263937.303974705,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2024-Q1,2.1372013092041,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2024-Q1,2330668.02115999,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2024-Q1,18.8723106384277,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2024-Q1,595535.469663042,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,2024-Q1,4.82227849960327,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,2024-Q1,674699.133655573,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,2024-Q1,5.46329689025879,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,2024-Q1,541897.987640134,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,2024-Q1,4.38795518875122,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2024-Q1,12349669.9223934,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2024-Q1,100.0,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2024-Q1,7349458.49729433,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2024-Q1,59.5113754272461,2024-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2024-Q2,269443.650731582,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,share_pct,2024-Q2,2.18794274330139,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2024-Q2,327520.48682663,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,share_pct,2024-Q2,2.65953969955444,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2024-Q2,24335.2679254305,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2024-Q2,0.197607830166817,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2024-Q2,255709.414278755,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2024-Q2,2.07641768455505,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2024-Q2,2318158.87151455,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2024-Q2,18.8239688873291,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2024-Q2,588202.321754443,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,2024-Q2,4.77633476257324,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,2024-Q2,679624.49159225,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,2024-Q2,5.5187029838562,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,2024-Q2,602879.932683881,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,2024-Q2,4.89552021026611,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2024-Q2,12314931.0945364,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2024-Q2,100.0,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2024-Q2,7249056.65722883,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2024-Q2,58.8639640808106,2024-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2024-Q3,284972.372581812,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
