quarter,ccy,flow_share_pct,source
2001-Q1,JPY,-328.86027370488506,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q2,JPY,-11.804046433074635,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q3,JPY,2.123985896438607,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q4,JPY,-13.93714901629961,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q1,JPY,-19.587006475169712,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q2,JPY,13.318712786140226,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q3,JPY,-3.788639142406066,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q4,JPY,0.7459150052768564,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q1,JPY,9.100302124979512,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q2,JPY,-1.635146273621178,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q3,JPY,3.9841174572303357,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q4,JPY,6.620000543957774,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q1,JPY,4.481397366210953,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q2,JPY,-7.317958676236165,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q3,JPY,-1.7219445342809114,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q4,JPY,1.993088990193433,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q1,JPY,-5.668440625386725,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q2,JPY,0.2933341973785657,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q3,JPY,0.21530052609865977,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q4,JPY,5.022255844545362,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2006-Q1,JPY,-2.4677577982594934,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2006-Q2,JPY,2.954135948452383,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2006-Q3,JPY,1.054359153686731,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2006-Q4,JPY,3.534334812148634,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2007-Q1,JPY,-3.0241542553996315,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2007-Q2,JPY,3.1146012758754615,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2007-Q3,JPY,0.49108062327817387,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2007-Q4,JPY,4.676412836753229,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2008-Q1,JPY,2.845730811335458,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2008-Q2,JPY,4.230510965222876,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2008-Q3,JPY,-1.2748012842459673,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2009-Q2,JPY,0.3574215099959049,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2009-Q3,JPY,2.0864287782316087,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2009-Q4,JPY,-0.47274453368759156,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2010-Q1,JPY,9.954175051488711,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2010-Q2,JPY,8.058566638865226,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2010-Q3,JPY,3.3810234093142273,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2010-Q4,JPY,3.579340324762243,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2011-Q1,JPY,1.9906654221190816,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2011-Q2,JPY,2.3907439081903723,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2011-Q3,JPY,2.5579428032020166,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2011-Q4,JPY,-1.609292074448812,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2012-Q1,JPY,5.765760870089169,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2012-Q2,JPY,-1.3318217776307963,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2012-Q3,JPY,8.094485013002503,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
